,title,year,score,views,userId
0,Big,1988,3.8,79,1
1,Hot Fuzz,2007,3.98,52,1
2,Casino Royale,2006,3.91,73,1
3,Full Metal Jacket,1987,4.11,92,1
4,School of Rock,2003,3.38,57,1
5,The Matrix Revolutions,2003,3.34,66,1
6,The Breakfast Club,1985,3.79,103,1
7,Chicago,2002,3.75,42,1
8,The Prestige,2006,4.02,79,1
9,Star Wars: Episode III - Revenge of the Sith,2005,3.4,66,1
0,Sweeney Todd: The Demon Barber of Fleet Street,2007,3.77,26,2
1,Donnie Darko,2001,4.0,98,2
2,Dr. No,1962,3.72,25,2
3,Hercules,1997,3.54,27,2
4,Léon: The Professional (a.k.a. The Professional) (Léon),1994,3.97,123,2
5,"The Adventures of Priscilla, Queen of the Desert",1994,3.67,30,2
6,Wayne's World,1992,3.57,51,2
7,Casino Royale,2006,3.91,73,2
0,Sin City,2005,3.84,72,3
1,Super Size Me,2004,3.52,41,3
2,Old School,2003,3.53,32,3
3,Final Fantasy: The Spirits Within,2001,3.52,24,3
4,John Wick,2014,3.95,22,3
5,Romy and Michele's High School Reunion,1997,3.07,23,3
6,Independence Day (a.k.a. ID4),1996,3.49,188,3
7,Jurassic Park,1993,3.77,225,3
0,The Departed,2006,4.27,97,4
1,X-Men: The Last Stand,2006,3.45,40,4
2,Meet the Fockers,2004,3.19,26,4
3,21 Grams,2003,3.26,21,4
4,I Am Legend,2007,3.51,52,4
5,Into the Wild,2007,3.99,35,4
6,Zodiac,2007,3.84,28,4
7,The Pursuit of Happyness,2006,3.84,40,4
8,Serendipity,2001,3.19,21,4
0,Pirates of the Caribbean: At World's End,2007,3.62,45,5
1,The Prestige,2006,4.02,79,5
2,The Hunger Games,2012,3.49,46,5
3,Intouchables,2011,4.11,37,5
4,Tangled,2010,3.91,23,5
5,Iron Man 2,2010,3.59,38,5
6,Red Dragon,2002,3.64,21,5
7,The Hunt for Red October,1990,3.99,79,5
8,Sin City,2005,3.84,72,5
9,Hotel Rwanda,2004,3.93,42,5
0,Gravity,2013,3.62,26,609
1,The Others,2001,3.81,45,609
2,Black Swan,2010,3.69,34,609
3,Austin Powers in Goldmember,2002,3.01,54,609
4,Antz,1998,3.21,39,609
5,Kill Bill: Vol. 1,2003,4.0,117,609
6,Lucky Number Slevin,2006,3.95,30,609
7,Sunset Blvd. (a.k.a. Sunset Boulevard),1950,4.48,23,609
